source_scope,legacy_configuration_status,legacy_acceptance_rule,legacy_selection_rule,legacy_top_n_requested,legacy_top_n_available,rank_in_db,db_name,study_name,condition,legacy_protocol_condition,current_na,trial_id,trial_number,objective,K_bath_value_middle,Va_l,Va_s,ca,d,eps,eps_middle,gki,gl_a,gs,gt,pk,switching_function,wo,zs,zth,wo_middle,w_a,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,w_o_middle,provenance_status,chosen_provenance_status,trace_dataset_kind,chosen_trace_source
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,12,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2366,2365,31.257252110544957,8.076817577342501,-76.03630696475113,-92.00298847715361,524.959238286403,0.008959284338807456,0.0017711388921886595,1.0,165.4437953980073,3.0913742717863375,10.651140171252925,6.2722983188397246,0.00014206182067067624,sigmoid,1287.3943504846027,9.376505441307783,33.43950614428915,1.0,2000.0,1.2727722450772629e-06,5.200641193005938e-05,8.831333509874426e-05,1.5535255372583834,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,13,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2423,2422,31.766145903078808,8.082824486515015,-78.19291763951321,-92.3116561268035,516.3020437618484,0.012179012754305295,0.0018252224359308422,1.0,169.7017556498813,3.5088093141008705,10.621024341601315,6.080736505946791,5.136538923094312e-05,sigmoid,1215.896921189792,9.231854550687968,42.58362127909399,1.0,2000.0,6.255797305735121e-07,5.0418087834973646e-05,8.806363137566514e-05,1.6448762762249116,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,14,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2365,2364,32.22369463437753,8.004220383093708,-75.47901709334818,-92.20060661944713,566.2063710100101,0.019116966094932117,0.0014994571522228466,1.0,157.6935860183883,2.027314396515316,10.705021665090648,6.278443873304803,5.745738378967554e-05,sigmoid,1263.2781302797969,9.633727686997629,31.46840124071689,1.0,2000.0,1.0984108578107296e-06,5.205736745238993e-05,8.876009050186576e-05,1.5831826357644856,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,15,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2440,2439,32.5901600655321,8.150635467469755,-78.24374865385275,-92.152163324099,505.28388403808196,0.00065255693973202,0.0018473707002630874,1.0,175.8260620492931,3.8157124967069347,1.8454895074930748,6.04554978552516,5.383789498215539e-05,sigmoid,1234.253609971793,9.083196857802811,48.90508604228876,1.0,2000.0,3.513229199116919e-08,5.01263391036962e-05,1.5301773394770794e-05,1.620412518012167,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,16,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2462,2461,32.63951953544932,8.14104870810485,-77.81847394486805,-92.32085164305722,506.2519868250439,0.0006167546533261351,0.0018957750856237396,1.0,177.0926024997393,3.7722326235635935,1.6210925622391636,5.814631936056215,2.3842078133764005e-06,sigmoid,1185.4176756685692,8.785118123670108,46.34616122828807,1.0,2000.0,1.4704712633964245e-09,4.821169662481186e-05,1.3441198629748987e-05,1.6871690384336564,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,17,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2435,2434,32.82187692077754,8.138309202598379,-78.85339072107305,-92.58971578499795,529.7777861057006,0.0005911424904867958,0.0018670386997395282,1.0,171.60946095761673,3.8596410063562026,2.0840263017668637,6.078404614098674,3.4144381950769695e-06,sigmoid,1243.4653187092015,8.99400676075042,42.64391617315261,1.0,2000.0,2.01841949825104e-09,5.039875308368077e-05,1.7279587929869833e-05,1.6084083487556622,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,18,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2436,2435,33.41498757057357,8.148685026380432,-78.40817439281163,-92.6087395065547,507.8834713400861,0.0023361997796985095,0.00188128685835683,1.0,171.57570509897084,3.8430698763426427,5.032464592533927,6.0675645363835145,5.677150423262828e-07,sigmoid,1231.2201487012364,9.083026760842301,47.258831930361644,1.0,2000.0,1.326295756814192e-09,5.030887318346698e-05,4.1726399689352145e-05,1.624404865457829,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,19,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2488,2487,33.64747772016257,8.12361810286557,-77.19588055301915,-91.63693204530163,529.378681061417,0.011157507288863265,0.0018062026479067595,1.0,186.63583242717365,3.6637812831138232,3.0835513259405984,5.825932425271676,5.744364487129169e-05,sigmoid,1224.2646465759242,8.539332161767524,44.18447528150378,1.0,2000.0,6.4092788635031e-07,4.8305394001319796e-05,2.556709396022676e-05,1.6336337127709157,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,20,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2467,2466,34.06553345448569,8.145844182184572,-77.76133292488619,-92.31466226096846,496.4269557753617,0.017768148036500637,0.0018733377211687598,1.0,180.24781828978416,3.774854673482378,1.385288412159722,5.870189008693943,1.7833009896496332e-06,sigmoid,1161.0428075117222,8.614815036758396,46.06480421932587,1.0,2000.0,3.168595597773277e-08,4.867234499616681e-05,1.148604166168604e-05,1.722589371434358,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
legacy_single_current_optuna,legacy_top300_optuna_trial,not_thresholded_top_n_first_pass,top_n_by_objective,300,300,21,CONTROL_50nA.db,CONTROL_50nA_centered_L2_2500t,CONTROL,CONTROL,50,2459,2458,34.19820793753268,8.141762888119233,-78.23642571354247,-92.23136765508752,501.4665810464452,0.0003457125285601069,0.001945740390253923,1.0,176.9364433129351,3.9001307458827514,1.6614790349098827,5.872390379361131,5.430350170174123e-05,sigmoid,1188.5361807237862,8.812209300375143,51.48201957282162,1.0,2000.0,1.877340088297703e-08,4.8690597538362496e-05,1.3776060816996487e-05,1.6827422104912737,,unresolved,unresolved,legacy_optuna_trace_csv,CONTROL_TRACES.csv
