file_id,region,condition,fit_scope,heldout_sweep,train_sweeps,candidate_id,optimizer_status,optimizer_success,optimizer_cost,optimizer_nfev,heldout_trace_rmse_mV,heldout_weighted_pass_fraction,simulation_health,heldout_pass
DH_2_CONTROL,DH,CONTROL,leave_one_out,6,"1,2,3,4,5",DH_2_CONTROL__cand_14,3,True,104.54145452250754,14,4.817184314391633,0.6341887393488497,ok,False
DH_2_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_2_MFA__cand_06,3,True,17.110445363215955,22,2.988139635479657,1.0,ok,True
DH_2_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_2_MFA__cand_06,4,True,20.917186376600917,20,1.1081734208593772,1.0,ok,True
DH_2_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_2_MFA__cand_06,3,True,19.492837980835166,18,2.6867423034685163,0.7881803547441584,ok,True
DH_2_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_2_MFA__cand_06,3,True,21.518620001450294,23,3.6168708906120064,1.0,ok,True
DH_2_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_2_MFA__cand_06,3,True,22.16596319626047,22,5.414085527644699,1.0,ok,False
DH_2_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_2_MFA__cand_06,3,True,21.392552884736233,29,6.862073410442806,1.0,ok,False
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_2_MFA_BA__cand_01,3,True,12.078094233925178,13,3.3937620191587063,1.0,ok,True
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_2_MFA_BA__cand_01,3,True,13.977922742636808,12,1.725222943800215,1.0,ok,True
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_2_MFA_BA__cand_01,3,True,13.58066603274742,12,0.7718126038430041,1.0,ok,True
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_2_MFA_BA__cand_01,3,True,13.339284969471416,12,1.2002955389852634,1.0,ok,True
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_2_MFA_BA__cand_01,3,True,12.813922674981466,13,2.8142153031612294,1.0,ok,True
DH_2_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_2_MFA_BA__cand_01,3,True,11.350668515233984,12,4.25106822870638,1.0,ok,False
DH_3_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_3_MFA__cand_10,3,True,9.481266595556054,23,3.7001237190249374,1.0,ok,True
DH_3_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_3_MFA__cand_10,0,False,15.878483485183766,40,1.6050128873082,1.0,ok,True
DH_3_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_3_MFA__cand_10,3,True,15.605909414191249,28,1.1213206312081276,1.0,ok,True
DH_3_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_3_MFA__cand_10,3,True,16.442638490768278,25,2.667989090540802,1.0,ok,True
DH_3_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_3_MFA__cand_10,3,True,14.542092665380823,23,4.148446326199227,1.0,ok,False
DH_3_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_3_MFA__cand_10,0,False,12.62960333934388,40,5.765596155014875,1.0,ok,False
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_3_MFA_BA__cand_01,3,True,7.6498264120925095,10,1.905751337804237,1.0,ok,True
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_3_MFA_BA__cand_01,3,True,9.809279676217193,9,1.0032140129822817,1.0,ok,True
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_3_MFA_BA__cand_01,3,True,10.655308994646665,9,0.43745288708967567,1.0,ok,True
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_3_MFA_BA__cand_01,3,True,10.200151331271451,9,0.955196824904349,1.0,ok,True
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_3_MFA_BA__cand_01,3,True,10.238619618159358,9,1.7952888633838051,1.0,ok,True
DH_3_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_3_MFA_BA__cand_01,3,True,9.541710303175144,9,2.8006457225079973,1.0,ok,True
DH_4_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_4_MFA__cand_06,3,True,17.123771071381768,19,2.667429719031516,0.9929826650120038,ok,True
DH_4_MFA,DH,MFA,leave_one_out,2,"1,3,4,5,6",DH_4_MFA__cand_06,3,True,20.562365977733542,17,1.4632015877041606,1.0,ok,True
DH_4_MFA,DH,MFA,leave_one_out,3,"1,2,4,5,6",DH_4_MFA__cand_06,3,True,20.536386480206005,17,3.267998034004123,1.0,ok,True
DH_4_MFA,DH,MFA,leave_one_out,4,"1,2,3,5,6",DH_4_MFA__cand_06,3,True,18.835294416766313,16,5.275769112107612,1.0,ok,False
DH_4_MFA,DH,MFA,leave_one_out,5,"1,2,3,4,6",DH_4_MFA__cand_06,3,True,16.469551788363585,19,7.0982668931787485,1.0,ok,False
DH_4_MFA,DH,MFA,leave_one_out,6,"1,2,3,4,5",DH_4_MFA__cand_06,3,True,12.751376877336002,16,9.205826053888973,0.7697877669636553,ok,False
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,1,"2,3,4,5,6",DH_4_MFA_BA__cand_20,3,True,17.84048139429059,14,2.7150095135126757,1.0,ok,True
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,2,"1,3,4,5,6",DH_4_MFA_BA__cand_20,3,True,32.75491566722537,7,0.9549918567774136,1.0,ok,True
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,3,"1,2,4,5,6",DH_4_MFA_BA__cand_20,3,True,33.12203427031522,7,2.3260480704836537,1.0,ok,True
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,4,"1,2,3,5,6",DH_4_MFA_BA__cand_20,3,True,31.573673700521233,7,4.303042847750211,1.0,ok,False
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,5,"1,2,3,4,6",DH_4_MFA_BA__cand_20,3,True,29.036273825510484,7,6.029747218404795,1.0,ok,False
DH_4_MFA_BA,DH,MFA_BA,leave_one_out,6,"1,2,3,4,5",DH_4_MFA_BA__cand_20,3,True,25.899149207983402,7,7.689746818160656,1.0,ok,False
DH_5_MFA,DH,MFA,leave_one_out,1,"2,3,4,5,6",DH_5_MFA__cand_01,3,True,28.81015362477304,22,2.816862042835455,1.0,ok,True
