file_id,region,condition,parameter,coordinate_type,n_accepted_candidate_values,log10_value_span,within_range_fraction,step03_identifiability_status,cell_specific_identifiability_status,claim_scope
VH_6_MFA_BA,VH,MFA_BA,zs,raw,2,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
VH_6_MFA_BA,VH,MFA_BA,zth,raw,2,0.0,0.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,P_gap_eff,effective,13,1.4009211641542212,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,eps,raw,13,1.4391317422129115,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,gamma_s_eff,effective,13,5.863103989998114,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,gamma_t_eff,effective,13,0.9612641408963629,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,gki,raw,13,2.359610886963729,0.6153846153846154,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,gl_a,raw,13,3.862722053331081,0.8461538461538461,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,volume_ratio_wa_wo,effective,13,2.123190489422577,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,zs,raw,13,3.4598055116372533,0.46153846153846156,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA,VH,MFA,zth,raw,13,0.9029968271437967,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,P_gap_eff,effective,15,2.712049230767098,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,eps,raw,15,1.9843393491923849,1.0,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,gamma_s_eff,effective,15,6.342311556223136,0.9333333333333333,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,gamma_t_eff,effective,15,4.906700295773108,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,gki,raw,15,1.0384930723403532,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,gl_a,raw,15,5.772629743786445,0.9333333333333333,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,volume_ratio_wa_wo,effective,15,2.060972437842869,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,zs,raw,15,3.5912277015184593,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
VH_7_OG_MFA_BA,VH,MFA_BA,zth,raw,15,0.3846219645810103,0.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_claim_downgraded
