Time (ms),50 (nA),75 (nA),100 (nA),125 (nA) ,149 (nA),174 (nA)
26400,6.897888184,10.38809013,13.67809916,16.40469551,19.63718128,22.36863232
26500,6.898918152,10.37611008,13.68088198,16.40183449,19.63951015,22.37160683
26600,6.893500805,10.38290071,13.67859316,16.39492798,19.64508343,22.3576107
26700,6.897163153,10.38541698,13.67439795,16.38890076,19.63672638,22.35722542
26800,6.899947643,10.37683487,13.67043066,16.39252377,19.64756107,22.34864712
26900,6.903228283,10.37301445,13.65475512,16.3781805,19.64973736,22.35192871
27000,6.900290966,10.36790609,13.67073679,16.3755455,19.65470028,22.35265255
27100,6.901741505,10.36245346,13.66443825,16.37302876,19.65229416,22.35059261
27200,6.903114557,10.3503952,13.66581535,16.36955929,19.63726425,22.35264969
27300,6.90597558,10.34444571,13.65875721,16.3687582,19.64508533,22.35894489
27400,6.912499189,10.33444691,13.6490345,16.36456108,19.65305996,22.36809731
27500,6.911736727,10.34470987,13.64071798,16.3661232,19.64851189,22.37858677
27600,6.914368868,10.34173441,13.63339472,16.36211872,19.64855194,22.36603832
27700,6.907312393,10.34551144,13.62961817,16.35696793,19.63932037,22.36092949
27800,6.907502651,10.33784294,13.65418053,16.35658741,19.6460371,22.37183094
27900,6.896173239,10.33368635,13.62794542,16.35361004,19.64966202,22.37893105
28000,6.908456326,10.31205845,13.61825895,16.35212517,19.65190887,22.39265823
28100,6.902009487,10.31133366,13.6162343,16.34720325,19.65134048,22.38697815
28200,6.89991188,10.30977106,13.60540199,16.34422684,19.65259552,22.38495445
28300,6.901857138,10.31850433,13.59533072,16.3458643,19.64985085,22.37450314
28400,6.908761501,10.32163239,13.59914637,16.33342743,19.65664196,22.37717628
28500,6.898233175,10.32495403,13.60883236,16.33521843,19.63763714,22.37862301
28600,6.901971579,10.33410454,13.59685373,16.329422,19.62696362,22.38018799
28700,6.89109993,10.33425474,13.60555267,16.32514858,19.62871361,22.38285923
28800,6.884881973,10.33211899,13.58987474,16.31888962,19.63558292,22.37931156
28900,6.879502535,10.32827091,13.60280657,16.31156921,19.63702965,22.37870312
29000,6.883393526,10.32628489,13.60895061,16.31732559,19.63359928,22.38717175
29100,6.879845619,10.3221283,13.62332869,16.31195259,19.63477993,22.38232994
29200,6.872330666,10.32663059,13.6239419,16.30744839,19.62898445,22.37046432
29300,6.867028713,10.31480312,13.62043381,16.30596066,19.63424587,22.37683678
29400,6.84612298,10.32647753,13.63355637,16.31072903,19.62848663,22.40014172
29500,6.844711304,10.32506514,13.62783432,16.30989361,19.62658215,22.39475918
29600,6.854591608,10.32304335,13.59918213,16.30577183,19.62654018,22.3910265
29700,6.850090027,10.31335688,13.59941053,16.3117981,19.62711048,22.38305378
29800,6.857376575,10.30832243,13.61883354,16.31824017,19.61933136,22.3852663
29900,6.852226734,10.30942488,13.61131573,16.31507587,19.62367344,22.38354588
30000,6.859093428,10.30458069,13.61379766,16.31214333,19.62585258,22.3907547
30100,6.861459017,10.30622149,13.61619806,16.30661106,19.61910248,22.37629509
30200,6.856766701,10.29279375,13.61998415,16.29901981,19.62459373,22.37416172
30300,6.851959944,10.29024172,13.61425495,16.30119419,19.62234497,22.36078072
30400,6.854668379,10.28646517,13.62600517,16.30058384,19.6156702,22.37778759
30500,6.845169306,10.27170038,13.61574459,16.30001068,19.61589813,22.3744688
30600,6.830214977,10.27677441,13.62504721,16.30283546,19.61528778,22.37565231
30700,6.835327148,10.27524567,13.62059021,16.29970837,19.61532593,22.37508106
30800,6.835708618,10.27082491,13.61218929,16.30478001,19.61410427,22.38946247
30900,6.829833508,10.27421951,13.62218618,16.29192829,19.60353947,22.39373302
31000,6.821593523,10.26033354,13.62115717,16.29467487,19.59884834,22.38328362
31100,5.955734015,8.966388226,11.85082626,14.18610048,17.01480675,19.39168358
31200,3.399696827,5.284479618,7.087412834,8.512313366,10.30315828,11.96526575
31300,1.977501571,3.287752986,4.554415941,5.396123648,6.720663786,8.02102375
31400,1.110955715,2.040805638,2.941981673,3.500829697,4.609152794,5.693028927
31500,0.547067046,1.222171724,1.957789719,2.180296302,3.25341022,4.248174429
31600,0.142594948,0.595836937,1.201069236,1.227309108,2.157981515,3.020376563
31700,-0.167730674,0.11442218,0.62546967,0.559889764,1.361053765,2.036070049
31800,-0.398557976,-0.249423638,0.153019423,0.09979943,0.682647526,1.267942846
31900,-0.574797064,-0.53045243,-0.213725605,-0.312454775,0.150154105,0.646757588
32000,-0.724562019,-0.755405158,-0.50841096,-0.688240588,-0.285102505,0.140166156
32100,-0.837057501,-0.95899567,-0.754268289,-0.995438039,-0.657226041,-0.264573201
32200,-0.930021495,-1.1181826,-0.954539686,-1.253502488,-0.964004129,-0.577759787
32300,-1.012227774,-1.236590803,-1.129900873,-1.471435547,-1.180945337,-0.758538514
32400,-1.05960691,-1.323679149,-1.248766869,-1.650650322,-1.347037911,-1.045289069
32500,-1.101910889,-1.41095978,-1.361606538,-1.796029329,-1.491881371,-1.279855013
32600,-1.141202748,-1.488208771,-1.449421763,-1.921799302,-1.648666143,-1.461128235
32700,-1.171950638,-1.532573521,-1.539218903,-2.036583543,-1.782066226,-1.625388205
32800,-1.208723664,-1.584911466,-1.60952419,-2.132408977,-1.894636035,-1.752417624
32900,-1.221387565,-1.635113418,-1.687381387,-2.196915746,-1.985692143,-1.883185148
33000,-1.262967587,-1.666888416,-1.729800701,-2.280838132,-2.074537218,-1.98271066
33100,-1.290701389,-1.678294659,-1.772104681,-2.340805888,-2.140913904,-2.067398369
33200,-1.304358184,-1.692600667,-1.813381076,-2.38009584,-2.213276982,-2.095282674
33300,-1.31626004,-1.708011985,-1.840885878,-2.423661828,-2.263289213,-2.079260111
33400,-1.309126556,-1.719646692,-1.863773048,-2.457038522,-2.301587343,-2.190879703
33500,-1.302298188,-1.726207435,-1.877810419,-2.485038519,-2.349805951,-2.278655052
33600,-1.307524323,-1.73780334,-1.899172127,-2.503807902,-2.402449012,-2.354568601
