strategy,file_id,candidate_id,sweep,current_na,stim_onset_s,stim_offset_s,obs_baseline_mV,pred_baseline_mV,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,baseline_aligned_rmse_mV,raw_minus_centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV,obs_peak_centered_mV,pred_peak_centered_mV,peak_delta_pred_minus_obs_mV
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,2,75,21.105,41.078,-56.6784434782609,-87.59800966108885,-30.91956618282795,30.63051011605374,0.9531925531750892,0.9531925531750892,29.67731756287865,8.466760869565555,9.374803233213285,0.9080423636477306,8.617369565217473,9.374803233213285,0.7574336679958122
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,3,100,21.105,41.078,-56.243756521739165,-87.59800966108885,-31.354253139349687,31.474244005894896,1.082580582883703,1.082580582883703,30.39166342301119,10.959004347826344,9.374803233213285,-1.5842011146130588,11.084878260869608,9.374803233213285,-1.7100750276563232
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,4,125,21.105,41.078,-56.366347826086965,-87.59800966108885,-31.231661835001887,32.09319741389523,2.1161629068982424,2.1161629068982424,29.97703450699699,13.348117391304555,9.374803233213285,-3.97331415809127,13.60524782608696,9.374803233213285,-4.230444592873674
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,5,150,21.105,41.078,-56.32573913043478,-87.59800966108885,-31.27227053065407,32.89443411583241,3.3922850114685477,3.3922850114685477,29.502149104363863,16.028582608695558,9.374803233213285,-6.653779375482273,16.205499999999937,9.374803233213285,-6.830696766786652
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,6,175,21.105,41.078,-56.08004782608697,-87.59800966108885,-31.517961835001884,33.85096962983549,4.561612783471363,4.561612783471363,29.28935684636413,18.361226086956556,9.374803233213285,-8.98642285374327,18.621056521739128,9.374803233213285,-9.246253288525843
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,1,50,21.075,41.076,-43.670221739130454,-89.34572574524971,-45.675504006119255,45.90485067062477,0.7633607405593126,0.7633607405593126,45.141489930065454,3.172178260869636,3.314254743929169,0.14207648305953313,3.172178260869636,3.314254743929169,0.14207648305953313
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,2,75,21.075,41.076,-41.9230913043478,-89.34572574524971,-47.42263444090191,47.89883057299271,0.7018727081020254,0.7018727081020254,47.196957864890685,4.430269565217351,3.314254743929169,-1.1160148212881822,4.430269565217351,3.314254743929169,-1.1160148212881822
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,3,100,21.075,41.076,-40.4578521739131,-89.34572574524971,-48.887873571336605,49.69934650557414,1.2436535083894138,1.2436535083894138,48.45569299718473,6.167356521739471,3.314254743929169,-2.853101777810302,6.167356521739471,3.314254743929169,-2.853101777810302
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,4,125,21.075,41.076,-39.15804782608697,-89.34572574524971,-50.18767791916274,51.08570554878634,1.8106347680894816,1.8106347680894816,49.275070780696865,7.54609130434779,3.314254743929169,-4.231836560418621,7.54609130434779,3.314254743929169,-4.231836560418621
least_squares_12starts,VH_4_MFA_BA,VH_4_MFA_BA__cand_07,5,150,21.075,41.076,-39.00108260869567,-89.34572574524971,-50.34464313655404,51.842106301698074,2.7247276739340474,2.7247276739340474,49.117378627764026,9.676517391304444,3.314254743929169,-6.362262647375275,9.676517391304444,3.314254743929169,-6.362262647375275
