strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,4,default_z0,ok,-64.20236956521745,-85.74634087989568,-21.54397131467823,22.735536500513515,3.1282737512966277,-5.432097410858056
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,4,observed_vm_z0,ok,-64.20236956521745,-85.7461352868886,-21.54376572167115,27.00557452163334,10.607161801187305,-19.17404011542188
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,5,default_z0,ok,-64.84316956521745,-85.74634087989568,-20.903171314678232,23.44353978337247,4.584003482465837,-9.078197410860312
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,5,observed_vm_z0,ok,-64.84316956521745,-85.74614059290359,-20.902971027686135,22.923214560764162,6.243022194766368,-9.078197283094426
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,6,default_z0,ok,-65.60616956521744,-85.74634087989568,-20.14017131467824,23.51979831970214,6.050263349435819,-11.977397410860306
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,6,observed_vm_z0,ok,-65.60616956521744,-85.74614691045049,-20.13997734523305,23.02228082562476,7.260946653069782,-11.977397283768525
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,1,default_z0,ok,-65.41136956521736,-85.75427984486494,-20.342910279647583,19.90854679161878,3.2387813426917855,3.0316884664103867
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,1,observed_vm_z0,ok,-65.41136956521736,-85.75193090208666,-20.3405613368693,19.30978654945714,5.198895980262003,3.0287727577719465
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,2,default_z0,ok,-65.19614782608697,-85.75427984486494,-20.558132018777968,21.446138161859423,2.733610599434627,-2.376411533590286
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,2,observed_vm_z0,ok,-65.19614782608697,-85.75190532901952,-20.55575750293255,20.873958561303645,4.906967641089288,-2.3793584242911408
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,3,default_z0,ok,-64.7158652173913,-85.75427984486494,-21.038414627473642,23.31126049614012,4.00705349721093,-7.188989794459509
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,3,observed_vm_z0,ok,-64.7158652173913,-85.75184798718281,-21.035982769791516,22.775891705569,5.831471844557543,-7.192006574959088
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,4,default_z0,ok,-64.92522173913045,-85.75427984486494,-20.82905810573449,24.65573046331722,5.8524237796617795,-11.556968055329072
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,4,observed_vm_z0,ok,-64.92522173913045,-85.75187302882729,-20.82665128969684,24.148364872598858,7.164572601668272,-11.559954319502374
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,5,default_z0,ok,-65.38726521739129,-85.75427984486494,-20.36701462747365,25.577758984735198,7.625420706595025,-15.527020229241906
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,5,observed_vm_z0,ok,-65.38726521739129,-85.75192804245812,-20.36466282506683,25.100019608939277,8.606393080427091,-15.529939446372673
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,6,default_z0,ok,-66.49741304347825,-85.75427984486494,-19.256866801386693,26.43186929731882,9.686773587998264,-19.820150664024823
least_squares_12starts,DH_1_MFA,DH_1_MFA__cand_01,6,observed_vm_z0,ok,-66.49741304347825,-85.75205878799959,-19.25464574452134,26.00503386483625,10.374088830993301,-19.822910308678487
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,1,default_z0,ok,-65.41136956521736,-85.74345514561202,-20.33208558039466,20.032630118600242,2.586033712860873,3.014421764214063
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,1,observed_vm_z0,ok,-65.41136956521736,-85.74326050722964,-20.33189094201228,19.438538159304702,4.817910328991138,3.014421881674167
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,2,default_z0,ok,-65.19614782608697,-85.74345514561202,-20.547307319525046,21.576221726269747,2.061310051184357,-2.3936782357866093
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,2,observed_vm_z0,ok,-65.19614782608697,-85.74325873201369,-20.547110905926715,21.008335333488905,4.5642395529318005,-2.3936781218053653
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,3,default_z0,ok,-64.7158652173913,-85.74345514561202,-21.02758992822072,23.448917155102574,3.673494111882929,-7.206256496655833
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,3,observed_vm_z0,ok,-64.7158652173913,-85.74325478074728,-21.02738956335598,22.9174367096278,5.604764466661262,-7.206256378032585
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,4,default_z0,ok,-64.92522173913045,-85.74345514561202,-20.818233406481568,24.79818222440201,5.693502879831657,-11.574234757525396
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,4,observed_vm_z0,ok,-64.92522173913045,-85.74325650487926,-20.818034765748806,24.294384819640356,7.032667699728878,-11.574234640497643
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,5,default_z0,ok,-65.38726521739129,-85.74345514561202,-20.35618992822073,25.724412952059122,7.550721501147586,-15.54428693143823
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,5,observed_vm_z0,ok,-65.38726521739129,-85.74326030893673,-20.355995091545438,25.249967976822337,8.53775958620984,-15.544286816109
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,6,default_z0,ok,-66.49741304347825,-85.74345514561202,-19.24604210213377,26.57979698752455,9.671129743013694,-19.837417366221146
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,6,observed_vm_z0,ok,-66.49741304347825,-85.74326945247945,-19.245856409001206,26.155790858442092,10.357116286803194,-19.83741720521502
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,1,default_z0,ok,-62.16952173913045,-85.79257304028486,-23.623051301154412,23.03778769423668,3.0245646085457447,4.218647879295752
least_squares_12starts,DH_1_MFA_BA,DH_1_MFA_BA__cand_07,1,observed_vm_z0,ok,-62.16952173913045,-85.79257313498034,-23.62305139584989,22.3863537856965,5.689992768602006,4.218647873731449
