file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_078,4.0562178040647424e-08,8.699583486505517e-08,1.0368298838046908e-08,0.7468206466727774,0.5337570358174482,0.0002059318284272,0.0357927519605239,41.28113083920799,0.3587849298490801,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_080,2.6623603159996004e-07,3.713255223641611e-06,7.786044606527031e-05,0.1049071742227666,60.03987143803322,0.0001737084515757,18.28015386181547,147.27810947195724,0.0034048574429356,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_061,3.1272978192923627e-06,0.0001430151334131,2.331695753552706e-07,0.0869053428474707,0.5546686743490862,0.0018302418036613,0.0629997081811037,81.37398134864998,0.0135663274404483,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_071,4.213756630352829e-08,1.6422765013726328e-07,6.393820112226864e-07,0.0669949655423061,320.56641092468544,0.0002230899330002,0.1657445282916464,111.24632715092244,0.0208408042089215,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_084,5.031150872390129e-08,2.086095279029513e-07,0.0004182964906039,0.0706341552773683,147.3332634003103,0.0002411762901648,3.2584075962973384e-05,116.4805352698464,0.0143784922985333,True,True,True,True,True,True,False,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_070,1.9598156304168027e-08,1.0080204367903492e-08,3.747613075325586e-05,0.319692026843354,291.67926940405107,0.0002601362911101,0.3988718433137068,88.20382799011456,0.0029330699965141,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_043,2.6218172268993463e-08,8.116272664248126e-08,3.997639227626579e-07,0.0524391981664403,337.8080884676406,0.0002923772495065,19.568501901952523,93.22113506256002,0.0024020625452196,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_035,1.0133341980049425e-08,5.797422809803765e-07,2.955063743386806e-07,0.4672452730114249,3.048616608601685,0.0003131149282289,0.0169791073111992,51.517602740689526,2.0388670842192624,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_039,6.13267393880602e-06,1.7481065940308469e-07,8.433950913546915e-07,0.6763787497978436,487.61526275622913,0.0003074101008035,4.875400659603958,70.72675071547913,0.0010424877308704,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_075,1.7670169402947916e-06,0.0050615768887523,0.0013303245101522,1.192617378922354,1.4690139693517672,4.207053950287933e-05,2.3226650368137e-05,129.92642186624028,0.6677615511747083,True,True,True,True,True,True,False,False,True
