file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,5,150,-29.03921535065713,31.468178094445925,4.066539889416367,17.79331304347842,8.992543300357042,-8.800769743121378
3_VH_1_CONTROL,3_VH_1_CONTROL__cand_09,VH,CONTROL,best_nonaccepted,False,6,175,-28.832980568048434,32.16606014396587,5.396218879101106,20.52485652173916,8.992543300357042,-11.532313221382118
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,1,50,-26.661520858736438,25.464524696878897,4.331875342198164,6.302908695652256,12.72577414994609,6.422865454293834
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,2,75,-27.573603467432108,26.845389011844574,3.1606959871278946,9.201595652174255,12.72577414994609,3.5241784977718353
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,3,100,-28.013716510910363,27.901099261663067,2.3141584324182682,11.988243478260898,12.72577414994609,0.7375306716851924
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,4,125,-28.381620858736433,29.22231896941378,2.25682250176111,15.47016521739149,12.72577414994609,-2.744391067445399
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,5,150,-28.70164259786688,30.33417370929946,3.05554572311729,18.39936521739145,12.72577414994609,-5.673591067445358
DH_1_CONTROL,DH_1_CONTROL__cand_35,DH,CONTROL,accepted_best,True,6,175,-29.034373032649455,31.5524058226189,4.126545161559853,20.72216521739132,12.72577414994609,-7.996391067445231
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,1,50,-20.36294956334578,20.088190044238118,2.532575043586352,10.710973913043034,13.706261714309534,2.9952878012664996
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,2,75,-20.578171302476164,21.633262249181254,2.024095460984231,16.119073913043707,13.706261714309534,-2.412812198734173
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,3,100,-21.05845391117184,23.507097489188766,3.6702154511993577,20.93165217391293,13.706261714309534,-7.225390459603396
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,4,125,-20.849097389432686,24.85696145708116,5.702794809874898,25.299630434782493,13.706261714309534,-11.59336872047296
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,5,150,-20.387053911171847,25.78359043421676,7.565622782837288,29.269682608695327,13.706261714309534,-15.563420894385793
DH_1_MFA,DH_1_MFA__cand_19,DH,MFA,best_nonaccepted,False,6,175,-19.27690608508489,26.639019154985625,9.690063737203664,33.56281304347824,13.706261714309534,-19.85655132916871
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,1,50,-23.58695655005534,22.969244659497125,2.8552977689214756,9.47586521739131,13.755160760125847,4.279295542734538
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,2,75,-24.083213071794503,24.664299017402612,1.413795280590784,14.267630434782475,13.755160760125847,-0.5124696746566286
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,3,100,-24.275626115272757,25.91502350370739,2.2331968673251787,18.41735217391308,13.755160760125847,-4.662191413787234
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,4,125,-24.392391332664047,27.196740718082815,3.905889019377465,22.52914347826097,13.755160760125847,-8.773982718135123
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,5,150,-24.09453481092489,28.539408889079677,5.9721476709673,26.722608695652127,13.755160760125847,-12.96744793552628
DH_1_MFA_BA,DH_1_MFA_BA__cand_18,DH,MFA_BA,accepted_best,True,6,175,-24.1809130717945,29.843944392757994,7.606500149686091,30.231643478260963,13.755160760125847,-16.476482718135117
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,1,50,-25.111687488265915,23.669860748093317,3.3603638951395003,7.921421739130558,13.754415363626421,5.832993624495863
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,2,75,-26.01938314043985,25.58694484861476,1.5875531303766275,11.754999999999853,13.754415363626421,1.999415363626568
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,3,100,-27.01454835783114,27.461961203760843,1.1458024289853779,15.091213043478156,13.754415363626421,-1.3367976798517347
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,4,125,-27.528157053483334,28.477386583738827,2.142502774563129,17.880647826086815,13.754415363626421,-4.126232462460393
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,5,150,-27.50508314043985,29.122390361637773,3.4198563993020463,20.67258260869584,13.754415363626421,-6.918167245069419
DH_2_CONTROL,DH_2_CONTROL__cand_14,DH,CONTROL,accepted_best,True,6,175,-27.102783140439854,29.82802394473728,4.79878141317354,23.323221739130254,13.754415363626421,-9.568806375503833
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,1,50,-32.96289276047557,31.103078054691302,3.2243536042404903,7.404978260869569,13.69584228308831,6.2908640222187415
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,2,75,-32.60886232569299,31.70095529912996,1.479880735483887,11.770765217391371,13.69584228308831,1.9250770656969394
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,3,100,-32.466453630040796,33.54816656456816,1.6840446403029439,15.968560869565124,13.69584228308831,-2.272718586476813
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,4,125,-32.89395797786693,34.33836752554508,3.478930839333977,19.513213043478167,13.69584228308831,-5.817370760389856
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,5,150,-32.89251015177995,35.41521095962986,5.180080087560021,23.191395652174045,13.69584228308831,-9.495553369085734
DH_2_MFA,DH_2_MFA__cand_06,DH,MFA,accepted_best,True,6,175,-32.87898406482344,36.1438559932565,6.857694244097456,26.25375652173921,13.69584228308831,-12.557914238650898
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,1,50,-42.70228893806769,41.41193265138438,3.0963319921512285,3.8502521739129563,9.70556851136594,5.855316337452983
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,2,75,-43.73825850328503,43.132617958127334,1.8974945427222891,6.654991304347618,9.70556851136594,3.0505772070183212
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,3,100,-45.10345850328504,44.719839604916295,0.7710369811723571,8.901730434782785,9.70556851136594,0.8038380765831548
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,4,125,-45.549815025024195,46.15879317452903,1.0985657998117535,12.448947826086858,9.70556851136594,-2.7433793147209187
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,5,150,-46.750215025024204,47.89298866482898,2.369217477957838,15.430095652173911,9.70556851136594,-5.724527140807972
DH_2_MFA_BA,DH_2_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,6,175,-47.7512150250242,49.498494542079264,3.6968047303519516,18.161478260869224,9.70556851136594,-8.455909749503284
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,1,50,-24.78545692166326,23.071596011250147,3.7663691971152233,6.86631739130415,13.738083393614758,6.871766002310608
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,2,75,-24.624256921663267,24.009646437368115,1.5514236915842905,11.761247826087242,13.738083393614758,1.976835567527516
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,3,100,-24.927743878184998,25.346624217621766,1.081909991428823,15.624704347826288,13.738083393614758,-1.88662095421153
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,4,125,-25.46022213905455,27.00486347548976,2.667899379862746,19.123343478260857,13.738083393614758,-5.385260084646099
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,5,150,-25.69400909557629,28.164052729795525,4.153084536294357,22.330465217391115,13.738083393614758,-8.592381823776357
DH_3_MFA,DH_3_MFA__cand_10,DH,MFA,accepted_best,True,6,175,-25.90230474775022,29.426910147688275,5.77011434684405,25.571317391304255,13.738083393614758,-11.833233997689497
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,1,50,-34.892196831854285,33.80463415142566,1.8941711274908297,2.7372478260871347,6.3143453971165115,3.577097571029377
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,2,75,-35.390544657941255,34.92309713192211,0.9934199078689907,4.98286521739135,6.3143453971165115,1.3314801797251619
DH_3_MFA_BA,DH_3_MFA_BA__cand_01,DH,MFA_BA,accepted_best,True,3,100,-36.4302577014195,36.31099274886543,0.4357096177424799,6.622352173913185,6.3143453971165115,-0.3080067767966739
