file_id,region,condition,candidate_id,mechanism_cluster,dominant_mechanism,buffering_phenotype,current_na,sweep,perturbation,perturbation_factor,I_Kir_integral,I_kgap_integral,I_leak_integral,I_k_a_integral,I_Kir_peak_abs,I_kgap_peak_abs,gap_to_kir_integral_ratio,gap_kir_classification,gap_fraction,kir_fraction,leak_fraction,K_o_baseline,K_o_peak,K_o_final,K_o_delta_peak,K_o_recovery_error,K_o_peak_ratio_to_nominal,Vm_feature_pass_fraction,n_Vm_features_scored,Vm_feature_threshold_fallback,hidden_flux_plausible,active_stim_window_start_s,active_stim_window_end_s,robust_under_perturbation,functional_buffering_pass,perturbation_status,simulation_status,failure_reason
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,current_scale_low,0.75,434.6041685519851,459.51379087431917,24.88291842832417,0.0,22.875085620551733,24.173916174335474,1.057315654392658,mixed,0.5000145287641468,0.47290941611127896,0.027076055124574387,4.794312107308966,6.1288101425731,4.793890665121701,1.3344980352641338,0.00042144218726480887,0.7519065053562783,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,100,3,current_scale_high,1.25,1627.9906322105005,1652.9790614795593,24.90397383328739,0.0,85.32633273466585,86.62712665605324,1.0153492463498572,mixed,0.5000127735425284,0.49245397614668623,0.007533250310785359,4.794312107308966,10.170919029557579,4.7935774458251075,5.376606922248613,0.0007346614838583676,1.2478083030592255,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,nominal,1.0,1398.2326282520012,1423.216517237497,24.904466342582158,0.0,73.35336293183657,74.65453376825245,1.0178681919450911,mixed,0.5000139516472204,0.4912364445653035,0.008749603787476069,4.794312107308966,9.432088546650759,4.793603631157623,4.637776439341793,0.0007084761513427296,1.0,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,eps_scale_low,0.5,1377.434791702593,1402.4157945426027,24.903976817500176,0.0,72.26263392595088,73.56382649771787,1.0181358878042652,mixed,0.5000137313302783,0.4911070686336566,0.008879200036065148,4.7887370664825735,9.365726684889585,4.787344941633513,4.576989618407012,0.001392124849060039,0.9929642452535353,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,eps_scale_high,2.0,1408.8644606968026,1433.849350734886,24.904713194591203,0.0,73.91160791905271,75.21276669669153,1.0177340622430964,mixed,0.500013979691302,0.4913012133928838,0.008684806915814192,4.797141712163199,9.46579143743276,4.796784314876348,4.66864972526956,0.00035739728685157957,1.003573216113834,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,stimulus_duration_short,0.75,1022.5502761027615,1040.8628283081318,18.242412370932133,0.0,73.14548502978211,74.44608730739917,1.0179087059417409,mixed,0.5000168471281325,0.49121973730004675,0.008763415571820612,4.794312107308966,9.432088546650759,4.793662383114956,4.637776439341793,0.0006497241940097709,1.0,0.4444444444444444,9,region_specific,True,11.173,26.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,stimulus_duration_long,1.25,1774.7417042337115,1806.399175540732,31.572623969783244,0.0,73.47501673332854,74.77651003757141,1.0178377908354215,mixed,0.5000117428820676,0.4912489469188088,0.008739310199123536,4.794312107308966,9.432088546650759,4.793567938828431,4.637776439341793,0.0007441684805344906,1.0,0.4444444444444444,9,region_specific,True,11.173,36.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,baseline_K_o_low,0.9,1398.2298400861591,1423.2137216121844,24.90444569176282,0.0,73.35331705518175,74.65448749633462,1.017868222240548,mixed,0.5000139539919322,0.4912364322478733,0.008749613760194553,4.794303858172475,9.432088891666218,4.793603645412773,4.637785033493744,0.0007002127597015573,1.000000036578904,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,baseline_K_o_high,1.1,1398.2355614819212,1423.2195417185371,24.904488058773236,0.0,73.35341097081468,74.65458362952891,1.0178682197226743,mixed,0.5000139638326245,0.4912364431309752,0.008749593036400391,4.794311985856726,9.432088243686266,4.793603616187681,4.6377762578295405,0.0007083696690441954,0.9999999678793842,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
1_DH_1_CONTROL,DH,CONTROL,1_DH_1_CONTROL__cand_45,unlabeled,Mixed,unlabeled,125,4,current_scale_low,0.75,698.1500640513248,723.0877501311606,24.89110535950457,0.0,36.73225141765206,38.03268337337287,1.035719664530465,mixed,0.5000161053138839,0.4827716634506134,0.017212231235502813,4.794312107308966,7.091017071575226,4.793768856779874,2.29670496426626,0.0005432505290920986,0.751797127062932,0.4444444444444444,9,region_specific,True,11.173,31.173,True,True,evaluated,ok,
