feature,sweep,contrast_label,experimental_contrast,cond_1,cond_2,n_DH_cond1,n_DH_cond2,n_VH_cond1,n_VH_cond2,diff_DH_cond2_minus_cond1,diff_VH_cond2_minus_cond1,delta_of_delta_DH_minus_VH,estimate_DH_minus_VH,experimental_direction,pvalue,qvalue_bh,reject_bh_0p05
decay_tau_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.5925101423838854,0.5364846267918126,0.056025515592072805,0.056025515592072805,increase,,,False
undershoot_magnitude_mV,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-1.177553809523814,-1.0755721428571423,-0.10198166666667174,-0.10198166666667174,decrease,,,False
return_slope_mV_per_s,2,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,6,1,4,3,-0.008630157070393017,0.11803551269448914,-0.12666566976488217,-0.12666566976488217,decrease,,,False
peak_depolarization_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,4.38301514285715,0.1958238000000012,4.187191342857149,4.187191342857149,increase,,,False
stim_end_depolarization_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,4.362450000000004,0.41374642857142696,3.9487035714285774,3.9487035714285774,increase,,,False
rise_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-7.877139597189082,-4.678583318194469,-3.198556278994613,-3.198556278994613,decrease,,,False
rise_tau_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.36592681998579096,0.3172705911173458,0.04865622886844517,0.04865622886844517,increase,,,False
plateau_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.011729205090007192,0.03878249423781917,-0.027053289147811976,-0.027053289147811976,decrease,,,False
decay_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-7.837710339114794,-4.764666556792622,-3.0730437823221726,-3.0730437823221726,decrease,,,False
decay_tau_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.48510016745940815,0.33153620575494513,0.15356396170446301,0.15356396170446301,increase,,,False
undershoot_magnitude_mV,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-0.806059809523812,-0.16786731428572088,-0.6381924952380911,-0.6381924952380911,decrease,,,False
return_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,6,4,4,6,-0.0009080603117780778,-0.014263381344514388,0.01335532103273631,0.01335532103273631,increase,,,False
peak_depolarization_mV,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-5.0602586666666785,-6.42822342857143,1.3679647619047515,1.3679647619047515,increase,,,False
stim_end_depolarization_mV,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.780050000000001,-6.236057142857143,1.4560071428571417,1.4560071428571417,increase,,,False
rise_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-6.443985227725605,-5.651542361309758,-0.7924428664158469,-0.7924428664158469,decrease,,,False
rise_tau_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.9943268014561781,1.7482960769940417,-0.7539692755378635,-0.7539692755378635,decrease,,,False
plateau_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.026872836056793907,0.06982993488626366,-0.04295709882946975,-0.04295709882946975,decrease,,,False
decay_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.104016144735756,-4.637830798281671,0.5338146535459147,0.5338146535459147,increase,,,False
decay_tau_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.043112302651401535,0.12568464510290867,-0.08257234245150713,-0.08257234245150713,decrease,,,False
undershoot_magnitude_mV,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-0.3127353333333337,-0.9118276571428601,0.5990923238095264,0.5990923238095264,increase,,,False
return_slope_mV_per_s,3,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,4,2,6,3,-0.011954332721641082,-0.009963515429126955,-0.0019908172925141264,-0.0019908172925141264,decrease,,,False
peak_depolarization_mV,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.677243523809528,-6.232399628571429,5.555156104761901,5.555156104761901,increase,,,False
stim_end_depolarization_mV,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-0.41759999999999664,-5.822310714285716,5.404710714285719,5.404710714285719,increase,,,False
rise_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-14.321124824914687,-10.330125679504226,-3.990999145410461,-3.990999145410461,decrease,,,False
rise_tau_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,1.3602536214419692,2.0655666681113876,-0.7053130466694184,-0.7053130466694184,decrease,,,False
plateau_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.038602041146801096,0.10861242912408282,-0.07001038797728174,-0.07001038797728174,decrease,,,False
decay_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-11.941726483850552,-9.402497355074292,-2.5392291287762596,-2.5392291287762596,decrease,,,False
decay_tau_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.5282124701108097,0.4572208508578538,0.07099161925295594,0.07099161925295594,increase,,,False
undershoot_magnitude_mV,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-1.1187951428571457,-1.0796949714285808,-0.03910017142856481,-0.03910017142856481,decrease,,,False
return_slope_mV_per_s,3,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,6,2,4,3,-0.01286239303341916,-0.024226896773641343,0.011364503740222184,0.011364503740222184,increase,,,False
peak_depolarization_mV,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,5.319679428571426,-0.10227520000000467,5.421954628571431,5.421954628571431,increase,,,False
stim_end_depolarization_mV,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,5.512842857142857,0.3202321428571402,5.192610714285717,5.192610714285717,increase,,,False
rise_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-10.038104044785083,-5.882623056007418,-4.155480988777665,-4.155480988777665,decrease,,,False
rise_tau_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.32376881138476293,0.2898018298084831,0.03396698157627981,0.03396698157627981,increase,,,False
plateau_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.05382097725884136,0.04492313076272458,0.00889784649611678,0.00889784649611678,increase,,,False
decay_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-9.670782317719183,-4.313679677504357,-5.357102640214826,-5.357102640214826,decrease,,,False
decay_tau_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.5211806775185299,0.3163481955973919,0.204832481921138,0.204832481921138,increase,,,False
undershoot_magnitude_mV,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-1.077514761904766,-0.36069714285714816,-0.7168176190476179,-0.7168176190476179,decrease,,,False
return_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,5,4,6,0.536828666517376,-0.0247439290499354,0.5615725955673114,0.5615725955673114,increase,,,False
peak_depolarization_mV,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-5.218896666666666,-7.172280571428569,1.9533839047619033,1.9533839047619033,increase,,,False
stim_end_depolarization_mV,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-4.96166666666667,-7.0489,2.08723333333333,2.08723333333333,increase,,,False
rise_slope_mV_per_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-8.302298712979121,-7.425403019975435,-0.8768956930036866,-0.8768956930036866,decrease,,,False
rise_tau_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,1.0381649803297468,1.92399992010992,-0.8858349397801732,-0.8858349397801732,decrease,,,False
plateau_slope_mV_per_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,0.052791312658457115,0.06301649558467069,-0.010225182926213577,-0.010225182926213577,decrease,,,False
decay_slope_mV_per_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-3.253800836864195,-5.0355721569045695,1.7817713200403746,1.7817713200403746,increase,,,False
decay_tau_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-0.030480898404230516,0.08957452073227545,-0.12005541913650597,-0.12005541913650597,decrease,,,False
undershoot_magnitude_mV,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,6,6,7,7,-0.8158526666666632,-0.8777731428571391,0.061920476190475915,0.061920476190475915,increase,,,False
return_slope_mV_per_s,4,diffdiff__MFA_to_MFA_BA,MFA_to_MFA_BA,MFA,MFA_BA,5,3,6,3,-0.5418583426400968,0.035120056335929344,-0.5769783989760261,-0.5769783989760261,decrease,,,False
peak_depolarization_mV,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.10078276190476032,-7.274555771428574,7.375338533333334,7.375338533333334,increase,,,False
stim_end_depolarization_mV,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.5511761904761876,-6.7286678571428595,7.279844047619047,7.279844047619047,increase,,,False
rise_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-18.340402757764203,-13.308026075982854,-5.032376681781349,-5.032376681781349,decrease,,,False
rise_tau_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,1.3619337917145098,2.213801749918403,-0.8518679582038933,-0.8518679582038933,decrease,,,False
plateau_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.10661228991729847,0.10793962634739528,-0.0013273364300968038,-0.0013273364300968038,decrease,,,False
decay_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-12.924583154583377,-9.349251834408927,-3.5753313201744508,-3.5753313201744508,decrease,,,False
decay_tau_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,0.49069977911429946,0.40592271632966737,0.0847770627846321,0.0847770627846321,increase,,,False
undershoot_magnitude_mV,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,6,4,7,-1.8933674285714293,-1.2384702857142873,-0.654897142857142,-0.654897142857142,decrease,,,False
return_slope_mV_per_s,4,diffdiff__CONTROL_to_MFA_BA,CONTROL_to_MFA_BA,CONTROL,MFA_BA,7,3,4,3,-0.005029676122720754,0.010376127285993943,-0.015405803408714697,-0.015405803408714697,decrease,,,False
peak_depolarization_mV,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,6.871795047619045,0.2322784857142821,6.639516561904763,6.639516561904763,increase,,,False
stim_end_depolarization_mV,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,6.546780952380949,0.46976785714285896,6.07701309523809,6.07701309523809,increase,,,False
rise_slope_mV_per_s,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-12.413807707539137,-8.10075384892831,-4.313053858610827,-4.313053858610827,decrease,,,False
rise_tau_s,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.3122844402875377,0.2710207412967345,0.04126369899080323,0.04126369899080323,increase,,,False
plateau_slope_mV_per_s,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,0.031073866831758792,0.035602799534411825,-0.004528932702653032,-0.004528932702653032,decrease,,,False
decay_slope_mV_per_s,5,diffdiff__CONTROL_to_MFA,CONTROL_to_MFA,CONTROL,MFA,7,6,4,7,-11.078612452364512,-5.975051074906904,-5.103561377457607,-5.103561377457607,decrease,,,False
