scope,region,sweep,feature,experimental_contrast,cond_1,cond_2,mean_cond_1,mean_cond_2,ci_low_cond_1,ci_high_cond_1,ci_low_cond_2,ci_high_cond_2,estimate,pvalue,n_cond_1,n_cond_2,n_files,experimental_direction_raw,qvalue_bh,reject_bh_0p05,experimental_direction
region_VH,VH,5,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,18.412775,18.88254285714286,16.300477045274796,20.525072954725204,14.694600545032936,23.070485169252784,0.46976785714285896,0.8048167728402297,4,7,11,increase,0.8471755503581365,False,no_clear_change
region_VH,VH,6,stim_end_depolarization_mV,CONTROL_to_MFA,CONTROL,MFA,21.144124999999995,21.742485714285717,18.860126227530557,23.428123772469434,17.035876125116523,26.44909530345491,0.5983607142857217,0.7786050917395118,4,7,11,increase,0.8297581584663425,False,no_clear_change
region_VH,VH,1,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,0.4042759999999994,0.6031261714285776,-0.3405904091919153,1.149142409191914,0.18052468430562468,1.0257276585515305,0.1988501714285782,0.5188092053151439,4,7,11,increase,0.5929248060744501,False,no_clear_change
region_VH,VH,2,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,1.1478509999999975,0.5994491428571403,0.7667388384247469,1.5289631615752481,0.1569010002557933,1.0419972854584874,-0.5484018571428572,0.0324180267317927,4,7,11,decrease,0.0559735713354694,False,no_clear_change
region_VH,VH,3,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,1.134456000000009,0.9665886857142881,0.38861265441243953,1.8802993455875785,0.3903354332945943,1.542841938133982,-0.16786731428572088,0.6269619738561026,4,7,11,decrease,0.6950155830275503,False,no_clear_change
region_VH,VH,4,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,1.326764000000006,0.9660668571428579,0.11283353935721507,2.540694460642797,0.31347554955470136,1.6186581647310145,-0.36069714285714816,0.4680750519272845,4,7,11,decrease,0.5440097455813476,False,no_clear_change
region_VH,VH,5,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,2.156555000000001,1.2227422857142887,1.5809499679611572,2.732160032038845,0.4420395370721999,2.0034450343563774,-0.9338127142857122,0.03225947979564772,4,7,11,decrease,0.055900903617006885,False,no_clear_change
region_VH,VH,6,undershoot_magnitude_mV,CONTROL_to_MFA,CONTROL,MFA,1.9892689999999966,1.1515121752809006,1.262318396338852,2.7162196036611412,0.46100110561444907,1.842023244947352,-0.8377568247190961,0.046911109587643385,4,7,11,decrease,0.07505777534022942,False,no_clear_change
region_VH,VH,1,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,5.674447209052764,0.8274347422918099,4.7606020398567805,6.588292378248748,0.4936325716696237,1.1612369129139961,-4.847012466760955,5.671662125835463e-05,4,7,11,decrease,0.0007778279486860064,True,decrease
region_VH,VH,2,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,8.474969216612518,1.532721492370913,5.372367843040079,11.577570590184957,0.988810622814622,2.076632361927204,-6.942247724241605,0.0043979326001979705,4,7,11,decrease,0.012006170691910971,True,decrease
region_VH,VH,3,decay_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,11.78249134249333,2.379993987419037,8.734414369036678,14.830568315949982,1.552472269491775,3.207515705346299,-9.402497355074292,0.0010031309419210165,4,7,11,decrease,0.0045857414487817895,True,decrease
