condition,region,sweep,feature,n_total_rows,n_non_missing,missing_rate,median,q1,q3,iqr,acceptable_lower,acceptable_upper,threshold_scope,reliability_weight
CONTROL,VH,1,plateau_slope_mV_per_s,4,4,0.0,-0.03450323652710813,-0.12262808929526015,-0.01464891414610007,0.10797917514916007,-0.28459685201900026,0.14731984857764005,region_specific,0.8
CONTROL,VH,1,return_slope_mV_per_s,4,4,0.0,0.03342574019353631,0.026240275480721387,0.037899742262663766,0.01165946678194238,0.008751075307807818,0.055388942435577335,region_specific,0.8
CONTROL,VH,1,rise_slope_mV_per_s,4,4,0.0,4.400044057883852,4.249979289587062,4.622028201854015,0.372048912266953,3.691905921186632,5.180101570254444,region_specific,0.8
CONTROL,VH,1,rise_tau_s,4,4,0.0,0.45149999999999935,0.427249999999999,0.47850000000000037,0.05125000000000135,0.350374999999997,0.5553750000000024,region_specific,0.8
CONTROL,VH,1,undershoot_magnitude_mV,4,4,0.0,0.2384200000000014,0.0,0.5491280000000067,0.5491280000000067,-0.8236920000000101,1.3728200000000168,region_specific,0.8
CONTROL,VH,2,decay_slope_mV_per_s,4,4,0.0,8.330464041141196,6.951194276500765,9.856378157218135,2.90518388071737,2.5934184554247093,14.21415397829419,region_specific,0.7666666666666667
CONTROL,VH,2,decay_tau_s,4,4,0.0,0.32949999999999946,0.30349999999999966,0.35724999999999874,0.053749999999999076,0.22287500000000104,0.43787499999999735,region_specific,0.7666666666666667
CONTROL,VH,2,peak_depolarization_mV,4,4,0.0,9.630224000000002,9.328617000000005,10.308025,0.9794079999999958,7.859505000000011,11.777136999999994,region_specific,0.8
CONTROL,VH,2,plateau_slope_mV_per_s,4,4,0.0,-0.025553504656664797,-0.03032516627829627,-0.006889525277935224,0.023435641000361045,-0.06547862777883784,0.02826393622260634,region_specific,0.8
CONTROL,VH,2,return_slope_mV_per_s,4,4,0.0,0.04043286365318162,0.03794897883147609,0.04227559712212287,0.004326618290646782,0.03145905139550592,0.04876552455809305,region_specific,0.8
CONTROL,VH,2,rise_slope_mV_per_s,4,4,0.0,7.377822485663987,6.845953093553026,7.956162484896365,1.1102093913433384,5.180639006538019,9.621476571911373,region_specific,0.8
CONTROL,VH,2,rise_tau_s,4,4,0.0,0.4010000000000016,0.39325000000000276,0.41550000000000065,0.022249999999997883,0.35987500000000594,0.44887499999999747,region_specific,0.8
CONTROL,VH,2,undershoot_magnitude_mV,4,4,0.0,1.1520319999999948,0.9591819999999949,1.3407009999999993,0.3815190000000044,0.3869034999999883,1.9129795000000058,region_specific,0.8
CONTROL,VH,3,decay_slope_mV_per_s,4,4,0.0,11.561275997704662,10.342574873122098,13.018170115156337,2.6755952420342393,6.329182010070739,17.031562978207695,region_specific,0.7666666666666667
CONTROL,VH,3,decay_tau_s,4,4,0.0,0.3315000000000019,0.30675000000000097,0.3605000000000036,0.05375000000000263,0.22612499999999702,0.44112500000000754,region_specific,0.7666666666666667
CONTROL,VH,3,peak_depolarization_mV,4,4,0.0,13.149939999999997,12.767027999999998,13.614348999999999,0.8473210000000009,11.496046499999997,14.8853305,region_specific,0.8
CONTROL,VH,3,plateau_slope_mV_per_s,4,4,0.0,-0.02946749410760104,-0.032339888790954105,-0.019819725881686553,0.012520162909267551,-0.05112013315485543,-0.0010394815177852262,region_specific,0.8
CONTROL,VH,3,return_slope_mV_per_s,4,4,0.0,0.04623217936975538,0.03938833471072124,0.05412061412550827,0.014732279414787025,0.017289915588540705,0.0762190332476888,region_specific,0.8
CONTROL,VH,3,rise_slope_mV_per_s,4,4,0.0,11.269986670317648,10.494756500622666,11.919558112779017,1.424801612156351,8.35755408238814,14.056760531013543,region_specific,0.8
CONTROL,VH,3,rise_tau_s,4,4,0.0,0.3620000000000019,0.3520000000000012,0.3760000000000012,0.02400000000000002,0.31600000000000117,0.41200000000000125,region_specific,0.8
CONTROL,VH,3,undershoot_magnitude_mV,4,4,0.0,1.1213380000000015,0.7524250000000041,1.5033689999999975,0.7509439999999934,-0.373990999999986,2.6297849999999876,region_specific,0.8
CONTROL,VH,4,decay_slope_mV_per_s,4,4,0.0,12.306092844657476,11.722358969757432,13.218304209082092,1.4959452393246604,9.47844111077044,15.462222068069082,region_specific,0.7666666666666667
CONTROL,VH,4,decay_tau_s,4,4,0.0,0.34299999999999997,0.33674999999999855,0.36925000000000097,0.032500000000002416,0.2879999999999949,0.4180000000000046,region_specific,0.7666666666666667
CONTROL,VH,4,peak_depolarization_mV,4,4,0.0,15.96351799999999,15.613032999999996,16.73781099999999,1.1247779999999938,13.925866000000006,18.42497799999998,region_specific,0.8
