condition,sweep,feature,family,n_cells_DH,n_cells_VH,small_stratum,dh_median,vh_median,dh_mean,vh_mean,dh_minus_vh_median,dh_minus_vh_ci95_low,dh_minus_vh_ci95_high
CONTROL,4,has_undershoot,binary,7,4,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0
CONTROL,5,has_undershoot,binary,7,4,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0
CONTROL,6,has_undershoot,binary,7,4,True,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MFA,1,has_undershoot,binary,6,7,False,1.0,1.0,0.6666666666666666,1.0,0.0,-1.0,0.0
MFA,2,has_undershoot,binary,6,7,False,1.0,1.0,0.8333333333333334,0.8571428571428571,0.0,-0.5,0.0
MFA,3,has_undershoot,binary,6,7,False,1.0,1.0,0.6666666666666666,0.8571428571428571,0.0,-1.0,0.0
MFA,4,has_undershoot,binary,6,7,False,1.0,1.0,0.8333333333333334,0.8571428571428571,0.0,-0.5,0.0
MFA,5,has_undershoot,binary,6,7,False,1.0,1.0,0.8333333333333334,0.8571428571428571,0.0,-0.5,0.0
MFA,6,has_undershoot,binary,6,7,False,1.0,1.0,0.6666666666666666,0.8571428571428571,0.0,-1.0,0.0
MFA_BA,1,has_undershoot,binary,6,7,False,0.0,0.0,0.16666666666666666,0.42857142857142855,0.0,-1.0,0.5
MFA_BA,2,has_undershoot,binary,6,7,False,0.0,1.0,0.3333333333333333,0.5714285714285714,-1.0,-1.0,1.0
MFA_BA,3,has_undershoot,binary,6,7,False,0.0,0.0,0.3333333333333333,0.42857142857142855,0.0,-1.0,1.0
MFA_BA,4,has_undershoot,binary,6,7,False,0.5,1.0,0.5,0.5714285714285714,-0.5,-1.0,1.0
MFA_BA,5,has_undershoot,binary,6,7,False,0.0,1.0,0.3333333333333333,0.5714285714285714,-1.0,-1.0,1.0
MFA_BA,6,has_undershoot,binary,6,7,False,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,0.0,1.0
