family,feature,term,scope,sweep,experimental_contrast,estimate,pvalue,qvalue_bh,reject_bh_0p05,experimental_direction
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,1.9978992571428638,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,2.137764285714283,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,-1.283509646180585,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,-1.0884463956918318,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,-0.047105370385234366,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,2.2126151638220293,,,False,increase
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,-0.10291185533762215,,,False,decrease
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,0.3379192228999517,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,MFA_to_MFA_BA,0.275483959915509,,,False,increase
primary_continuous,peak_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,8.98923070476191,,,False,increase
primary_continuous,stim_end_depolarization_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,8.835558333333328,,,False,increase
primary_continuous,rise_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,-4.956173627190854,,,False,decrease
primary_continuous,rise_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,-1.0858537294883317,,,False,decrease
primary_continuous,plateau_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,-0.055645459255450336,,,False,decrease
primary_continuous,decay_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,-3.6758662102992528,,,False,decrease
primary_continuous,decay_tau_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,0.12176993808025083,,,False,increase
primary_continuous,undershoot_magnitude_mV,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,0.32591480952380625,,,False,increase
primary_continuous,return_slope_mV_per_s,C(region):C(condition),matched_sweep_delta_of_delta,6,CONTROL_to_MFA_BA,0.31279178126595136,,,False,increase
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,1,CONTROL_to_MFA,-4.030863397802127,0.004343102832019071,0.012006170691910971,True,decrease
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,2,CONTROL_to_MFA,-5.272991692984464,0.0068644247581137845,0.01647461941947308,True,decrease
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,3,CONTROL_to_MFA,-6.962932565025344,0.009962139631620301,0.021539761365665516,True,decrease
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,4,CONTROL_to_MFA,-7.84055528163579,0.00734035519169053,0.01710374025248279,True,decrease
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,5,CONTROL_to_MFA,-9.306220896697104,0.00680451396784709,0.016466405370687505,True,decrease
primary_continuous,decay_slope_mV_per_s,C(condition),region_blind_condition_contrast,6,CONTROL_to_MFA,-8.837927082971628,0.009182291449913647,0.020311059428380417,True,decrease
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,1,CONTROL_to_MFA,0.4130238600720002,0.0005358173337746866,0.0029226400024073814,True,increase
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,2,CONTROL_to_MFA,0.39218151384080796,0.0028635343899887037,0.009224808773117972,True,increase
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,3,CONTROL_to_MFA,0.40257826671093055,0.004410852922108357,0.012006170691910971,True,increase
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,4,CONTROL_to_MFA,0.4124237832454065,0.00405123908682196,0.01164428001002719,True,increase
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,5,CONTROL_to_MFA,0.4373153383603697,0.004129965587766428,0.011711996371319498,True,increase
primary_continuous,decay_tau_s,C(condition),region_blind_condition_contrast,6,CONTROL_to_MFA,0.4412263954694607,0.004790279978235211,0.012703504914656914,True,increase
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,1,CONTROL_to_MFA,0.47250225734265694,0.4451246355029896,0.5211215244913049,False,no_clear_change
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,2,CONTROL_to_MFA,1.2752037874125826,0.20153796285740203,0.2607499249907088,False,no_clear_change
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,3,CONTROL_to_MFA,1.9669810181818228,0.14875196158502602,0.19561901797482872,False,no_clear_change
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,4,CONTROL_to_MFA,2.283280682517482,0.14289884488879662,0.19053179318506216,False,no_clear_change
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,5,CONTROL_to_MFA,3.0819771636363598,0.11132561993915033,0.15579095501688675,False,no_clear_change
primary_continuous,peak_depolarization_mV,C(condition),region_blind_condition_contrast,6,CONTROL_to_MFA,3.211827337062939,0.10918685552688173,0.15414614897912715,False,no_clear_change
primary_continuous,plateau_slope_mV_per_s,C(condition),region_blind_condition_contrast,1,CONTROL_to_MFA,-0.010102936628279066,0.7676958209142023,0.8206993185719758,False,no_clear_change
primary_continuous,plateau_slope_mV_per_s,C(condition),region_blind_condition_contrast,2,CONTROL_to_MFA,0.02586299412289885,0.0985226825514786,0.14201467755168085,False,no_clear_change
