group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
VH,4,plateau_slope_mV_per_s,4,-0.0283,-0.0335,0.0219,-0.0462,-0.0453,-0.0165,0.0001,0.0288,-0.0632,0.0066,-0.0453,-0.0165,-0.0632,0.0066
pooled,4,decay_slope_mV_per_s,9,18.5353,15.4399,6.7238,11.3525,12.7686,23.5285,29.5378,10.7599,13.3669,23.7037,12.7686,23.5285,13.3669,23.7037
T,4,decay_slope_mV_per_s,5,23.2549,23.5285,5.1246,15.4399,22.5366,25.2317,29.5378,2.695,16.8918,29.6179,22.5366,25.2317,16.8918,29.6179
VH,4,decay_slope_mV_per_s,4,12.6359,12.3077,1.4201,11.3525,11.7233,13.2203,14.5756,1.4971,10.3763,14.8955,11.7233,13.2203,10.3763,14.8955
pooled,4,decay_tau_s,9,0.3227,0.297,0.0827,0.19,0.284,0.379,0.464,0.095,0.2591,0.3862,0.284,0.379,0.2591,0.3862
T,4,decay_tau_s,5,0.2626,0.284,0.0439,0.19,0.253,0.289,0.297,0.036,0.2081,0.3171,0.253,0.289,0.2081,0.3171
VH,4,decay_tau_s,4,0.3977,0.385,0.0464,0.357,0.3735,0.4092,0.464,0.0358,0.324,0.4715,0.3735,0.4092,0.324,0.4715
pooled,4,undershoot_magnitude_mV,9,2.1074,2.2485,0.9098,0.3657,1.8664,2.8943,3.103,1.0278,1.4081,2.8067,1.8664,2.8943,1.4081,2.8067
T,4,undershoot_magnitude_mV,5,2.7319,2.8943,0.3492,2.2485,2.4963,2.9174,3.103,0.4211,2.2984,3.1655,2.4963,2.9174,2.2984,3.1655
VH,4,undershoot_magnitude_mV,4,1.3268,1.4668,0.7629,0.3657,0.8918,1.9018,2.0078,1.01,0.1128,2.5407,0.8918,1.9018,0.1128,2.5407
pooled,4,return_slope_mV_per_s,9,0.063,0.0664,0.0175,0.0355,0.0471,0.0746,0.0881,0.0276,0.0496,0.0765,0.0471,0.0746,0.0496,0.0765
T,4,return_slope_mV_per_s,5,0.064,0.073,0.016,0.0462,0.0471,0.0746,0.079,0.0276,0.0441,0.0838,0.0471,0.0746,0.0441,0.0838
VH,4,return_slope_mV_per_s,4,0.0619,0.062,0.0218,0.0355,0.0521,0.0718,0.0881,0.0197,0.0272,0.0965,0.0521,0.0718,0.0272,0.0965
pooled,5,peak_depolarization_mV,9,19.6212,19.9377,2.2442,15.7727,18.0491,20.3328,22.8356,2.2837,17.8962,21.3463,18.0491,20.3328,17.8962,21.3463
T,5,peak_depolarization_mV,5,20.2363,20.0379,2.8454,15.7727,19.9377,22.5976,22.8356,2.6599,16.7033,23.7693,19.9377,22.5976,16.7033,23.7693
VH,5,peak_depolarization_mV,4,18.8524,18.5514,1.1029,17.9738,18.0303,19.3735,20.3328,1.3432,17.0974,20.6073,18.0303,19.3735,17.0974,20.6073
pooled,5,rise_slope_mV_per_s,9,26.382,27.6714,7.6916,15.4928,19.8972,31.1692,37.3335,11.2719,20.4697,32.2943,19.8972,31.1692,20.4697,32.2943
T,5,rise_slope_mV_per_s,5,32.3235,31.1692,3.7894,27.6714,30.595,34.8485,37.3335,4.2535,27.6183,37.0287,30.595,34.8485,27.6183,37.0287
VH,5,rise_slope_mV_per_s,4,18.9552,19.4796,2.4974,15.4928,18.1697,20.2651,21.3686,2.0954,14.9812,22.9292,18.1697,20.2651,14.9812,22.9292
